The Amazing Spider-Man ,Action|Adventure|Fantasy,2012,7,Marc Webb,464,599,153,Emma Stone,15000,Andrew Garfield,10000,Chris Zylka,963,262030663,451803,28489,0,lizard|outcast|spider|spider man|teenager,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,English,USA,PG-13,230000000,2.35,56000,Color
Robin Hood ,Action|Adventure|Drama|History,2010,6.7,Ridley Scott,0,343,156,Mark Addy,891,William Hurt,882,Scott Grimes,738,105219735,211765,3244,0,1190s|archer|england|king of england|robin hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,English,USA,PG-13,200000000,2.35,17000,Color
The Hobbit: The Desolation of Smaug ,Adventure|Fantasy,2013,7.9,Peter Jackson,0,509,186,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,258355354,483540,9152,6,dwarf|elf|lake town|mountain|sword and sorcery,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,English,USA,PG-13,225000000,2.35,83000,Color
The Golden Compass ,Adventure|Family|Fantasy,2007,6.1,Chris Weitz,129,251,113,Christopher Lee,16000,Eva Green,6000,Kristin Scott Thomas,1000,70083519,149019,24106,2,children|epic|friend|girl|quest,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,English,USA,PG-13,180000000,2.35,0,Color
King Kong ,Action|Adventure|Drama|Romance,2005,7.2,Peter Jackson,0,446,201,Naomi Watts,6000,Thomas Kretschmann,919,Evan Parke,84,218051260,316018,7123,0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,New Zealand,PG-13,207000000,2.35,0,Color
Titanic ,Drama|Romance,1997,7.7,James Cameron,0,315,194,Leonardo DiCaprio,29000,Kate Winslet,14000,Gloria Stuart,794,658672302,793059,45223,0,artist|love|ship|titanic|wet,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,English,USA,PG-13,200000000,2.35,26000,Color
Captain America: Civil War ,Action|Adventure|Sci-Fi,2016,8.2,Anthony Russo,94,516,147,Robert Downey Jr.,21000,Scarlett Johansson,19000,Chris Evans,11000,407197282,272670,64798,0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English,USA,PG-13,250000000,2.35,72000,Color
Battleship ,Action|Adventure|Sci-Fi|Thriller,2012,5.9,Peter Berg,532,377,131,Liam Neeson,14000,Alexander Skarsgård,10000,Tadanobu Asano,627,65173160,202382,26679,0,box office flop|hawaii|naval|oahu hawaii|ship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,English,USA,PG-13,209000000,2.35,44000,Color
Jurassic World ,Action|Adventure|Sci-Fi|Thriller,2015,7,Colin Trevorrow,365,644,124,Bryce Dallas Howard,3000,Judy Greer,2000,Omar Sy,1000,652177271,418214,8458,0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,English,USA,PG-13,150000000,2,150000,Color
Skyfall ,Action|Adventure|Thriller,2012,7.8,Sam Mendes,0,750,143,Albert Finney,883,Helen McCrory,563,Rory Kinnear,393,304360277,522030,2039,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,English,UK,PG-13,200000000,2.35,80000,Color
Spider-Man 2 ,Action|Adventure|Fantasy|Romance,2004,7.3,Sam Raimi,0,300,135,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,373377893,411164,43388,1,death|doctor|scientist|super villain|tentacle,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,English,USA,PG-13,200000000,2.35,0,Color
Iron Man 3 ,Action|Adventure|Sci-Fi,2013,7.2,Shane Black,1000,608,195,Robert Downey Jr.,21000,Jon Favreau,4000,Don Cheadle,3000,408992272,557489,30426,3,armor|explosion|human bomb|missile attack|terrorist,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English,USA,PG-13,200000000,2.35,95000,Color
Alice in Wonderland ,Adventure|Family|Fantasy,2010,6.5,Tim Burton,13000,451,108,Johnny Depp,40000,Alan Rickman,25000,Anne Hathaway,11000,334185206,306320,79957,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,USA,PG,200000000,1.85,24000,Color
X-Men: The Last Stand ,Action|Adventure|Fantasy|Sci-Fi|Thriller,2006,6.8,Brett Ratner,420,334,104,Hugh Jackman,20000,Kelsey Grammer,808,Daniel Cudmore,560,234360014,383427,21714,0,battle|mutant|outrage|walking through a wall|x men,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,English,Canada,PG-13,210000000,2.35,0,Color
Monsters University ,Adventure|Animation|Comedy|Family|Fantasy,2013,7.3,Dan Scanlon,37,376,104,Steve Buscemi,12000,Tyler Labine,779,Sean Hayes,760,268488329,235025,14863,0,cheating|fraternity|monster|singing in a car|university,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,English,USA,G,200000000,1.85,44000,Color
Transformers: Revenge of the Fallen ,Action|Adventure|Sci-Fi,2009,6,Michael Bay,0,366,150,Glenn Morshower,894,Kevin Dunn,581,Ramon Rodriguez,464,402076689,323207,3218,0,autobot|decepticon|machine|sun|symbol,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,English,USA,PG-13,200000000,2.35,0,Color
